Timestamp,Current,MVoltage,Sl1Voltage,Sl2Voltage,Sl3Voltage,Sl4Voltage
1482410483.16,0.00490951538086,3.2492578125,3.25179492188,3.25233007812,3.25207617188,-1.0
1482410484.48,-0.0147361755371,3.24926953125,3.25179492188,3.25233203125,3.25207421875,-1.0
1482410485.53,-0.0097770690918,3.24927148437,3.25179882813,3.2523359375,3.2520703125,-1.0
1482410486.52,0.000713348388672,3.2492578125,3.25179492188,3.25233789063,3.25206640625,-1.0
1482410487.43,-0.00176620483398,3.24925976563,3.25179296875,3.25233007812,3.2520703125,-1.0
1482410488.42,-14.6751899719,3.22706640625,3.22970507812,3.20362890625,3.22181445312,-1.0
1482410489.41,-14.665271759,3.2246171875,3.21041601562,3.1990859375,3.21821484375,-1.0
1482410490.41,-14.6637458801,3.22286328125,3.20827734375,3.19700585937,3.21626171875,-1.0
1482410491.42,-14.6435279846,3.2213984375,3.20661914062,3.19543164062,3.21475390625,-1.0
1482410492.48,-14.6742362976,3.22011328125,3.20516015625,3.19403710937,3.21345117188,-1.0
1482410493.48,-14.6685142517,3.21895898437,3.20384765625,3.19276953125,3.21223828125,-1.0
1482410494.6,-14.6540184021,3.21783789063,3.20270117188,3.191640625,3.2111640625,-1.0
1482410495.55,-14.6816749573,3.21686132813,3.20155664063,3.19056445312,3.21012109375,-1.0
1482410496.48,-14.6612663269,3.2159140625,3.20056640625,3.18959179688,3.20918359375,-1.0
1482410497.55,-14.6734733582,3.21502734375,3.19966796875,3.18873242188,3.20836523437,-1.0
1482410498.55,-14.6730918884,3.21419335938,3.19873046875,3.18783398438,3.20749609375,-1.0
1482410499.55,-14.6587867737,3.21340429688,3.19788867187,3.18698828125,3.20668554688,-1.0
1482410500.55,-14.6803398132,3.21263085937,3.1970625,3.18620898437,3.2059453125,-1.0
1482410501.62,-14.6780509949,3.21189453125,3.19629296875,3.18546289063,3.2052265625,-1.0
1482410502.56,-14.6776695251,3.21118945313,3.19555664062,3.18476367187,3.20450585938,-1.0
1482410503.56,-14.6996040344,3.210515625,3.1948203125,3.18404492187,3.20384375,-1.0
1482410504.63,-14.6770973206,3.20984179688,3.194140625,3.18338476563,3.2031953125,-1.0
1482410505.57,-14.6622200012,3.20921289062,3.193453125,3.18270898438,3.20256054688,-1.0
1482410506.57,-14.683391571,3.20858984375,3.19281640625,3.18208398438,3.20194335937,-1.0
1482410507.57,-14.6629829407,3.20798828125,3.19218164062,3.1814765625,3.20134179687,-1.0
1482410508.62,-14.6683235168,3.20741015625,3.19159179688,3.18089257812,3.2007890625,-1.0
1482410509.57,-14.6967430115,3.20683398438,3.1909921875,3.180328125,3.20022265625,-1.0
1482410510.57,-14.6677513123,3.20629296875,3.19041601562,3.17976171875,3.19966796875,-1.0
1482410511.58,-14.6826286316,3.20575390625,3.189859375,3.17923632813,3.19914648437,-1.0
1482410512.58,-14.6658439636,3.20524023438,3.18930664062,3.17869140625,3.19863085938,-1.0
1482410513.76,-14.6902580261,3.20463085937,3.18878125,3.17819335938,3.19812109375,-1.0
1482410514.82,-14.6717567444,3.204140625,3.18817578125,3.17759765625,3.1975390625,-1.0
1482410515.77,-14.6868247986,3.20366601563,3.1876875,3.17711523437,3.19706640625,-1.0
1482410516.77,-14.6660346985,3.20320507812,3.18719140625,3.17665234375,3.19661132812,-1.0
1482410517.77,-14.6971244812,3.20274804688,3.18671679687,3.17618945313,3.19613867188,-1.0
1482410518.82,-14.6593589783,3.20229882812,3.18624609375,3.17573046875,3.19570703125,-1.0
1482410519.83,-14.7024650574,3.20185742188,3.185796875,3.17529296875,3.19528515625,-1.0
1482410520.77,-14.6675605774,3.2014296875,3.18536132812,3.17485546875,3.19483398438,-1.0
1482410521.77,-14.6614570618,3.20101757813,3.18491210937,3.17444335938,3.19443164062,-1.0
1482410523.1,-14.6854896545,3.20047851562,3.18449609375,3.17401953125,3.1940234375,-1.0
1482410524.1,-14.6698493958,3.20008007813,3.18397070312,3.1734921875,3.1935078125,-1.0
1482410525.1,-14.7026557922,3.19968554688,3.18354882813,3.17309375,3.19310351563,-1.0
1482410526.1,-14.6889228821,3.19930859375,3.18315039063,3.17271484375,3.19272460937,-1.0
1482410527.1,-14.6795768738,3.1989296875,3.18277148437,3.17235742188,3.19236132813,-1.0
1482410528.1,-14.6734733582,3.19856640625,3.1823984375,3.17199023437,3.19199414062,-1.0
1482410529.1,-14.659740448,3.1982109375,3.18203125,3.17163085938,3.19162890625,-1.0
1482410530.1,-14.6799583435,3.19786328125,3.18166992188,3.17125976562,3.19128515625,-1.0
1482410531.1,-14.7038002014,3.19751757813,3.18131640625,3.17093164063,3.1909375,-1.0
1482410532.29,-14.6633644104,3.19709960937,3.1809609375,3.1705859375,3.19060351562,-1.0
1482410533.29,-14.6395225525,3.19676757813,3.180546875,3.17019921875,3.19021289063,-1.0
1482410534.29,-14.6751899719,3.19644726563,3.1802109375,3.1698671875,3.18988476563,-1.0
1482410535.29,-14.6507759094,3.19612695313,3.17989453125,3.16953320312,3.1895546875,-1.0
1482410536.29,-14.6467704773,3.19581835938,3.17956835938,3.169234375,3.18926171875,-1.0
1482410537.35,-14.6852989197,3.1955078125,3.17926953125,3.16894140625,3.18895703125,-1.0
1482410538.36,-14.7188682556,3.19521484375,3.17894335938,3.16862304688,3.18864257813,-1.0
1482410539.36,-14.6799583435,3.19492578125,3.17865234375,3.16833398438,3.18834765625,-1.0
1482410540.36,-14.6936912537,3.19463671875,3.17836132813,3.16804882812,3.1880546875,-1.0
